13933	99	4.0	1249084800.0
27245	168	8.0	1443657600.0
6242	3033	8.5	1635724800.0
24783	1450	10.0	1459468800.0
4111	1890	6.0	1612137600.0
15121	5183	7.0	1538352000.0
35735	1859	6.0	1385856000.0
22200	804	9.0	1609459200.0
15186	63	9.0	1640995200.0
20655	6611	7.0	1093996800.0
28763	1323	7.2	1296518400.0
19899	230	8.0	1612137600.0
33441	204	8.0	1409529600.0
34526	4798	9.0	1285891200.0
6685	403	6.0	1254355200.0
13740	2642	5.68889	1564617600.0
34088	1452	8.0	1614556800.0
1596	1114	7.5	1483228800.0
22126	980	8.0	1472688000.0
21181	1988	7.0	1493596800.0
8592	3460	7.0	1217548800.0
29866	1858	10.0	1464739200.0
15233	1044	6.0	1564617600.0
18662	3163	7.5	1580515200.0
17695	546	6.5	1304208000.0
4372	3451	5.0	1217548800.0
28300	588	7.0	1267401600.0
26976	532	8.0	1561939200.0
18188	3359	7.5	1235865600.0
21729	3067	8.0	1488326400.0
37936	49	8.0	1633046400.0
11914	2122	7.0	1638316800.0
34041	1612	4.0	1554076800.0
26119	2556	5.5	1057017600.0
23861	1528	6.0	1364774400.0
12749	5519	7.0	1514764800.0
39269	1931	6.0	1304208000.0
7087	152	6.0	1564617600.0
25167	4608	5.0	1377993600.0
4754	550	7.0	1633046400.0
14603	3299	7.0	1609459200.0
34448	694	5.5	1627776000.0
1358	1484	8.0	1522540800.0
1787	75	10.0	1362096000.0
28515	4815	6.0	1619827200.0
34045	538	3.0	1238544000.0
25472	7135	4.0	1172707200.0
22520	3248	6.0	1020211200.0
14567	4084	6.0	1541030400.0
16416	519	8.0	1291161600.0
6263	60	7.5	1514764800.0
11869	723	8.0	1593561600.0
39559	3090	4.0	1328054400.0
31214	481	6.0	1459468800.0
37217	60	9.0	1551398400.0
26258	1523	7.0	1606780800.0
20993	1445	9.0	1596240000.0
23030	374	8.0	1401580800.0
31226	271	5.0	1430438400.0
25777	158	9.0	1614556800.0
36818	590	7.0	1433116800.0
22602	2285	1.0	1556668800.0
24486	3394	7.5	1275350400.0
11541	495	7.0	1393632000.0
27693	3	7.25	1543622400.0
2659	430	5.0	1280620800.0
19585	6478	7.0	1606780800.0
36096	1156	10.0	1464739200.0
21803	2833	10.0	1293840000.0
33669	651	6.0	1462060800.0
14839	788	8.0	1635724800.0
11915	222	7.0	1454284800.0
33935	379	8.75	1259625600.0
351	629	7.0	1590969600.0
38781	2942	8.0	1356998400.0
15354	435	7.0	1433116800.0
30502	4341	6.0	1522540800.0
12828	1579	5.0	1596240000.0
6851	276	6.0	1322697600.0
21280	341	2.0	1262304000.0
22413	1563	7.5	1619827200.0
22829	1079	8.0	1572566400.0
21066	947	7.0	1614556800.0
34251	1346	2.0	1559347200.0
36451	1146	7.0	1406851200.0
9208	51	9.0	1583020800.0
32044	1789	6.5	1222819200.0
15856	3934	7.0	1454284800.0
4111	1235	7.5	1485907200.0
37559	477	7.0	1509494400.0
12551	4879	1.0	1470009600.0
27468	6420	3.5	1483228800.0
20316	4876	7.0	1546300800.0
13593	33	8.0	1638316800.0
7605	3060	6.0	1488326400.0
3639	2116	8.0	1277942400.0
4105	596	8.0	1541030400.0
23433	2166	8.0	1472688000.0
19504	853	5.0	1446336000.0
36148	1715	6.5	1588291200.0
28500	1920	9.5	1598918400.0
10067	2448	4.0	1414800000.0
11582	2214	7.0	1462060800.0
19864	519	8.0	1246406400.0
19799	644	5.0	1425168000.0
4835	3629	8.0	1072915200.0
25141	2348	8.0	1554076800.0
25035	228	10.0	1588291200.0
37338	1861	6.0	1509494400.0
5717	1620	9.0	1301616000.0
20981	6316	5.0	1412121600.0
10227	5091	3.0	1575158400.0
7305	3472	8.0	1635724800.0
10888	5211	7.0	1235865600.0
34769	853	10.0	1288569600.0
23376	4655	7.0	1254355200.0
11478	1235	8.0	1493596800.0
14370	4882	8.0	1172707200.0
24196	872	7.0	1167609600.0
20588	1126	7.0	1485907200.0
9521	1546	7.0	1514764800.0
33614	276	6.0	1417392000.0
18534	562	3.0	1383264000.0
11549	775	7.0	1359676800.0
29169	1008	7.0	1175385600.0
20163	396	9.0	1627776000.0
26319	644	6.0	1391212800.0
14514	183	6.5	1572566400.0
7968	728	6.0	1614556800.0
12306	4866	8.0	1446336000.0
25830	519	9.0	1559347200.0
26867	1458	9.0	1517443200.0
13566	1939	8.0	1214870400.0
6376	3501	7.0	1385856000.0
32121	30	6.0	1257033600.0
25882	1082	5.0	1617235200.0
25910	234	9.0	993945600.0
949	432	3.0	1283299200.0
31840	2761	6.0	1491004800.0
19	43	4.0	1538352000.0
8320	1653	8.0	1556668800.0
16515	153	7.5	1422748800.0
12063	660	8.0	1598918400.0
13063	124	8.0	1488326400.0
5504	3838	6.0	1601510400.0
24509	1330	9.5	1388534400.0
31488	1750	10.0	1551398400.0
22685	997	7.0	1257033600.0
30834	468	1.0	1614556800.0
3237	88	9.0	1191196800.0
38968	5930	10.0	1251763200.0
31490	1473	4.0	1543622400.0
